id,tag,text
1,"[1, 'label']",5
2,"[2, 's1', 'heading']",Opposition to the Plan of God
3,"[3, 'p1', 'verse', 'v1', 'label']",1
4,"[4, 'p1', 'verse', 'v1', 'note', 'f']","sn The enthusiasm of the worshipers in the preceding chapter turns sour in this one when Pharaoh refuses to cooperate. The point is clear that when the people of God attempt to devote their full service and allegiance to God, they encounter opposition from the world. Rather than finding instant blessing and peace, they find conflict. This is the theme that will continue through the plague narratives. But what makes chapter 5 especially interesting is how the people reacted to this opposition. The chapter has three sections: first, the confrontation between Moses and Pharaoh (vv. 1-5); then the report of the stern opposition of the king (vv. 6-14); and finally, the sad account of the effect of this opposition on the people (vv. 15-21)."
5,"[5, 'p1', 'verse', 'v1', 'content']","Afterward Moses and Aaron went to Pharaoh and said, “Thus says the"
6,"[6, 'p1', 'verse', 'v1', 'sc']",Lord
7,"[7, 'p1', 'verse', 'v1', 'content']",","
8,"[8, 'p1', 'verse', 'v1', 'note', 'f']",tn Heb “Yahweh.”
9,"[9, 'p1', 'verse', 'v1', 'content']","the God of Israel, ‘Release"
10,"[10, 'p1', 'verse', 'v1', 'note', 'f']","tn The form שַׁלַּח (shallakh), the Piel imperative, has been traditionally translated “let [my people] go.” The Qal would be “send”; so the Piel “send away, release, dismiss, discharge.” B. Jacob observes, “If a person was dismissed through the use of this verb, then he ceased to be within the power or sphere of influence of the individual who had dismissed him. He was completely free and subsequently acted entirely on his own responsibility” (Exodus, 115)."
11,"[11, 'p1', 'verse', 'v1', 'content']",my people so that they may hold a pilgrim feast
12,"[12, 'p1', 'verse', 'v1', 'note', 'f']","tn The verb חָגַג (khagag) means to hold a feast or to go on a pilgrim feast. The Arabic cognate of the noun form is haj, best known for the pilgrim flight of Mohammed, the hajira. The form in the text (וְיָחֹגּוּ, vÿyakhoggu) is subordinated to the imperative and thus shows the purpose of the imperative."
13,"[13, 'p1', 'verse', 'v1', 'content']",to me in the desert.’”
14,"['v001_NET_EXO_005', 14, 'p1', 'verse', 'v1', 'plain_text']","1 Afterward Moses and Aaron went to Pharaoh and said, “Thus says the Lord , the God of Israel, ‘Release my people so that they may hold a pilgrim feast to me in the desert.’”"
15,"[15, 'p1', 'verse', 'v2', 'label']",2
16,"[16, 'p1', 'verse', 'v2', 'content']","But Pharaoh said, “Who is the"
17,"[17, 'p1', 'verse', 'v2', 'sc']",Lord
