id,tag,text
1,"[1, 'label']",1
2,"[2, 's1', 'heading']",Judah Takes the Lead
3,"[3, 'p1', 'verse', 'v1', 'label']",1
4,"[4, 'p1', 'verse', 'v1', 'content']","After Joshua died, the Israelites asked"
5,"[5, 'p1', 'verse', 'v1', 'note', 'f']","tn The Hebrew verb translated “asked” (שָׁאַל, sha’al) refers here to consulting the Lord through a prophetic oracle; cf. NAB “consulted.”"
6,"[6, 'p1', 'verse', 'v1', 'content']",the
7,"[7, 'p1', 'verse', 'v1', 'sc']",Lord
8,"[8, 'p1', 'verse', 'v1', 'content']",", “Who should lead the invasion against the Canaanites and launch the attack?”"
9,"[9, 'p1', 'verse', 'v1', 'note', 'f']",tn Heb “Who should first go up for us against the Canaanites to attack them?”
10,"[10, 'p1', 'verse', 'v1', 'plain_text']","1 After Joshua died, the Israelites asked the Lord , “Who should lead the invasion against the Canaanites and launch the attack?”"
11,"[11, 'p1', 'verse', 'v2', 'label']",2
12,"[12, 'p1', 'verse', 'v2', 'content']",The
13,"[13, 'p1', 'verse', 'v2', 'sc']",Lord
14,"[14, 'p1', 'verse', 'v2', 'content']","said, “The men of Judah should take the lead."
15,"[15, 'p1', 'verse', 'v2', 'note', 'f']",tn Heb “Judah should go up.”
16,"[16, 'p1', 'verse', 'v2', 'content']",Be sure of this! I am handing the land over to them.”
17,"[17, 'p1', 'verse', 'v2', 'note', 'f']","tn The Hebrew exclamation הִנֵּה (hinneh, traditionally, “Behold”), translated “Be sure of this,” draws attention to the following statement. The verb form in the following statement (a Hebrew perfect, indicating completed action from the standpoint of the speaker) emphasizes the certainty of the event. Though it had not yet taken place, the Lord speaks of it as a “done deal.”"
18,"[18, 'p1', 'verse', 'v2', 'plain_text']","2 The Lord said, “The men of Judah should take the lead. Be sure of this! I am handing the land over to them.”"
19,"[19, 'p1', 'verse', 'v3', 'label']",3
20,"[20, 'p1', 'verse', 'v3', 'content']","The men of Judah said to their relatives, the men of Simeon,"
