id,tag,text
1,"[1, 'label']",32
2,"[2, 'q1_1', 'verse', 'v1', 'label']",1
3,"[3, 'q1_1', 'verse', 'v1', 'content']","“Give ear,"
4,"[4, 'q1_1', 'verse', 'v1', 'note', 'x']",#Ps. 50:4;[Josh. 24:27]; See ch.4:26
5,"[5, 'q1_1', 'verse', 'v1', 'content']","O heavens, and I will speak,"
6,"[6, 'q2_1', 'verse', 'v1', 'content']",and let
7,"[7, 'q2_1', 'verse', 'v1', 'note', 'x']","#Isa. 34:1;Mic. 1:2;6:1,2"
8,"[8, 'q2_1', 'verse', 'v1', 'content']",the earth hear the words of my mouth.
9,"['v001_ESV_DEU_032', 9, 'q1_1', 'verse', 'v1', 'plain_text']","1 “Give ear, O heavens, and I will speak, and let the earth hear the words of my mouth."
10,"[10, 'q1_2', 'verse', 'v2', 'label']",2
11,"[11, 'q1_2', 'verse', 'v2', 'content']",May
12,"[12, 'q1_2', 'verse', 'v2', 'note', 'x']","#Isa. 55:10,11;[Job 29:22,23]"
13,"[13, 'q1_2', 'verse', 'v2', 'content']","my teaching drop as the rain,"
14,"[14, 'q2_2', 'verse', 'v2', 'content']","my speech distill as the dew,"
15,"[15, 'q1_3', 'verse', 'v2', 'content']","like gentle rain upon the tender grass,"
16,"[16, 'q2_3', 'verse', 'v2', 'content']",and
17,"[17, 'q2_3', 'verse', 'v2', 'note', 'x']",#Ps. 72:6;Mic. 5:7
18,"[18, 'q2_3', 'verse', 'v2', 'content']",like showers upon the herb.
19,"['v002_ESV_DEU_032', 19, 'q1_2', 'verse', 'v2', 'plain_text']","2 May my teaching drop as the rain, my speech distill as the dew, like gentle rain upon the tender grass, and like showers upon the herb."
20,"[20, 'q1_4', 'verse', 'v3', 'label']",3
21,"[21, 'q1_4', 'verse', 'v3', 'content']",For I will proclaim the name of the
22,"[22, 'q1_4', 'verse', 'v3', 'nd']",Lord
23,"[23, 'q1_4', 'verse', 'v3', 'content']",;
24,"[24, 'q2_4', 'verse', 'v3', 'content']",ascribe
25,"[25, 'q2_4', 'verse', 'v3', 'note', 'x']",#See ch.3:24
26,"[26, 'q2_4', 'verse', 'v3', 'content']",greatness to our God!
27,"['v003_ESV_DEU_032', 27, 'q1_4', 'verse', 'v3', 'plain_text']",3 For I will proclaim the name of the Lord ; ascribe greatness to our God!
28,"[28, 'q1_5', 'verse', 'v4', 'label']",4
29,"[29, 'q1_5', 'verse', 'v4', 'note', 'x']","#ver.15, 18, 30, 31, 37;Ps. 18:2,31;Isa. 30:29;Hab. 1:12;See2 Sam. 22:2"
30,"[30, 'q1_5', 'verse', 'v4', 'content']","“The Rock,"
31,"[31, 'q1_5', 'verse', 'v4', 'note', 'x']",#[Ps. 18:30]
32,"[32, 'q1_5', 'verse', 'v4', 'content']","his work is perfect,"
33,"[33, 'q2_5', 'verse', 'v4', 'content']",for
34,"[34, 'q2_5', 'verse', 'v4', 'note', 'x']",#Dan. 4:37;Rev. 15:3
35,"[35, 'q2_5', 'verse', 'v4', 'content']",all his ways are justice.
36,"[36, 'q1_6', 'verse', 'v4', 'content']",A God of faithfulness and
37,"[37, 'q1_6', 'verse', 'v4', 'note', 'x']",#Job 34:10
38,"[38, 'q1_6', 'verse', 'v4', 'content']","without iniquity,"
39,"[39, 'q2_6', 'verse', 'v4', 'content']",just and upright is he.
40,"['v004_ESV_DEU_032', 40, 'q1_5', 'verse', 'v4', 'plain_text']","4 “The Rock, his work is perfect, for all his ways are justice. A God of faithfulness and without iniquity, just and upright is he."
41,"[41, 'q1_7', 'verse', 'v5', 'label']",5
42,"[42, 'q1_7', 'verse', 'v5', 'content']",They have dealt corruptly with him;
43,"[43, 'q2_7', 'verse', 'v5', 'content']",they are no longer his children
44,"[44, 'q2_7', 'verse', 'v5', 'note', 'x']",#[2 Pet. 2:13]
45,"[45, 'q2_7', 'verse', 'v5', 'content']",because they are blemished;
46,"[46, 'q2_8', 'verse', 'v5', 'content']",they are
47,"[47, 'q2_8', 'verse', 'v5', 'note', 'x']",#Matt. 17:17;Luke 9:41;Phil. 2:15
48,"[48, 'q2_8', 'verse', 'v5', 'content']",a crooked and twisted generation.
49,"['v005_ESV_DEU_032', 49, 'q1_7', 'verse', 'v5', 'plain_text']",5 They have dealt corruptly with him; they are no longer his children because they are blemished; they are a crooked and twisted generation.
50,"[50, 'q1_8', 'verse', 'v6', 'label']",6
51,"[51, 'q1_8', 'verse', 'v6', 'content']",Do you thus repay the
52,"[52, 'q1_8', 'verse', 'v6', 'nd']",Lord
53,"[53, 'q1_8', 'verse', 'v6', 'content']",","
54,"[54, 'q2_9', 'verse', 'v6', 'content']",you foolish and senseless people?
55,"[55, 'q1_9', 'verse', 'v6', 'content']",Is not he
56,"[56, 'q1_9', 'verse', 'v6', 'note', 'x']",#Isa. 63:16;64:8
57,"[57, 'q1_9', 'verse', 'v6', 'content']","your father, who"
58,"[58, 'q1_9', 'verse', 'v6', 'note', 'x']",#Ps. 74:2
59,"[59, 'q1_9', 'verse', 'v6', 'content']","created you,"
60,"[60, 'q2_10', 'verse', 'v6', 'content']",who
61,"[61, 'q2_10', 'verse', 'v6', 'note', 'x']",#ver.15;Isa. 44:2;51:13
62,"[62, 'q2_10', 'verse', 'v6', 'content']",made you and established you?
63,"['v006_ESV_DEU_032', 63, 'q1_8', 'verse', 'v6', 'plain_text']","6 Do you thus repay the Lord , you foolish and senseless people? Is not he your father, who created you, who made you and established you?"
64,"[64, 'q1_10', 'verse', 'v7', 'label']",7
65,"[65, 'q1_10', 'verse', 'v7', 'note', 'x']",#[Isa. 63:11]
66,"[66, 'q1_10', 'verse', 'v7', 'content']",Remember the days of old;
67,"[67, 'q2_11', 'verse', 'v7', 'content']",consider the years of many generations;
68,"[68, 'q1_11', 'verse', 'v7', 'note', 'x']",#Ps. 44:1
69,"[69, 'q1_11', 'verse', 'v7', 'content']","ask your father, and he will show you,"
70,"[70, 'q2_12', 'verse', 'v7', 'content']","your elders, and they will tell you."
71,"['v007_ESV_DEU_032', 71, 'q1_10', 'verse', 'v7', 'plain_text']","7 Remember the days of old; consider the years of many generations; ask your father, and he will show you, your elders, and they will tell you."
72,"[72, 'q1_12', 'verse', 'v8', 'label']",8
73,"[73, 'q1_12', 'verse', 'v8', 'content']",When the Most High
74,"[74, 'q1_12', 'verse', 'v8', 'note', 'x']",#Acts 17:26
75,"[75, 'q1_12', 'verse', 'v8', 'content']","gave to the nations their inheritance,"
76,"[76, 'q2_13', 'verse', 'v8', 'content']",when he
77,"[77, 'q2_13', 'verse', 'v8', 'note', 'x']",#Gen. 11:8
78,"[78, 'q2_13', 'verse', 'v8', 'content']","divided mankind,"
79,"[79, 'q1_13', 'verse', 'v8', 'content']",he fixed the borders
80,"[80, 'q1_13', 'verse', 'v8', 'note', 'f']",#32:8Orterritories
81,"[81, 'q1_13', 'verse', 'v8', 'content']",of the peoples
82,"[82, 'q2_14', 'verse', 'v8', 'content']",according to the number of the sons of God.
83,"[83, 'q2_14', 'verse', 'v8', 'note', 'f']","#32:8Compare Dead Sea Scroll, Septuagint; Masoretic Textsons of Israel"
84,"['v008_ESV_DEU_032', 84, 'q1_12', 'verse', 'v8', 'plain_text']","8 When the Most High gave to the nations their inheritance, when he divided mankind, he fixed the borders of the peoples according to the number of the sons of God."
85,"[85, 'q1_14', 'verse', 'v9', 'label']",9
86,"[86, 'q1_14', 'verse', 'v9', 'content']",But the
87,"[87, 'q1_14', 'verse', 'v9', 'nd']",Lord
88,"[88, 'q1_14', 'verse', 'v9', 'content']","’s portion is his people,"
89,"[89, 'q2_15', 'verse', 'v9', 'content']",Jacob his allotted heritage.
90,"['v009_ESV_DEU_032', 90, 'q1_14', 'verse', 'v9', 'plain_text']","9 But the Lord ’s portion is his people, Jacob his allotted heritage."
91,"[91, 'q1_15', 'verse', 'v10', 'label']",10
92,"[92, 'q1_15', 'verse', 'v10', 'content']",“He found him
93,"[93, 'q1_15', 'verse', 'v10', 'note', 'x']",#ch.8:15;Jer. 2:6;Hos. 13:5
94,"[94, 'q1_15', 'verse', 'v10', 'content']","in a desert land,"
95,"[95, 'q2_16', 'verse', 'v10', 'content']",and in the howling waste of the wilderness;
96,"[96, 'q1_16', 'verse', 'v10', 'content']",he
97,"[97, 'q1_16', 'verse', 'v10', 'note', 'x']",#Ps. 32:10
98,"[98, 'q1_16', 'verse', 'v10', 'content']","encircled him, he cared for him,"
99,"[99, 'q2_17', 'verse', 'v10', 'content']",he
100,"[100, 'q2_17', 'verse', 'v10', 'note', 'x']",#Ps. 17:8;Prov. 7:2;Zech. 2:8
101,"[101, 'q2_17', 'verse', 'v10', 'content']",kept him as the apple of his eye.
