id,tag,text
0,['label'],2
1,"['s1', 'heading']",Confrontation and Repentance at Bokim
2,"['p1', 'verse', 'v1', 'label']",1
3,"['p1', 'verse', 'v1', 'content']",The
4,"['p1', 'verse', 'v1', 'sc']",Lord
5,"['p1', 'verse', 'v1', 'content']",’s angelic messenger
6,"['p1', 'verse', 'v1', 'note', 'f']",sn See Exod 14:19; 23:20.
7,"['p1', 'verse', 'v1', 'content']","went up from Gilgal to Bokim. He said, “I brought you up from Egypt and led you into the land I had solemnly promised to give to your ancestors."
8,"['p1', 'verse', 'v1', 'note', 'f']",tn Heb “the land that I had sworn to your fathers.”
9,"['p1', 'verse', 'v1', 'content']","I said, ‘I will never break my agreement"
10,"['p1', 'verse', 'v1', 'note', 'f']",tn Or “covenant” (also in the following verse).
11,"['p1', 'verse', 'v1', 'content']","with you,"
12,"['p1', 'verse', 'v2', 'label']",2
13,"['p1', 'verse', 'v2', 'content']",but you must not make an agreement with the people who live in this land. You should tear down the altars where they worship.’
14,"['p1', 'verse', 'v2', 'note', 'f']",tn Heb “their altars.”
15,"['p1', 'verse', 'v2', 'content']",But you have disobeyed me.
16,"['p1', 'verse', 'v2', 'note', 'f']",tn Heb “you have not listened to my voice.”
17,"['p1', 'verse', 'v2', 'content']",Why would you do such a thing?
18,"['p1', 'verse', 'v2', 'note', 'f']",tn Heb “What is this you have done?”
20,"['p1', 'verse', 'v3', 'label']",3
21,"['p1', 'verse', 'v3', 'content']","At that time I also warned you,"
22,"['p1', 'verse', 'v3', 'note', 'f']","tn Heb “And I also said.” The use of the perfect tense here suggests that the messenger is recalling an earlier statement (see Josh 23:12-13). However, some translate, “And I also say,” understanding the following words as an announcement of judgment upon those gathered at Bokim."
23,"['p1', 'verse', 'v3', 'content']","‘If you disobey,"
24,"['p1', 'verse', 'v3', 'note', 'f']",tn The words “If you disobey” are supplied in the translation for clarity. See Josh 23:12-13.
25,"['p1', 'verse', 'v3', 'content']",I will not drive out the Canaanites
26,"['p1', 'verse', 'v3', 'note', 'f']",tn Heb “them”; the referent (the Canaanites) has been specified in the translation for clarity.
27,"['p1', 'verse', 'v3', 'content']",before you. They will ensnare you
28,"['p1', 'verse', 'v3', 'note', 'f']","tn The meaning of the Hebrew word צִדִּים (tsiddim) is uncertain in this context. It may be related to an Akkadian cognate meaning “snare.” If so, a more literal translation would be “they will become snares to you.” Normally the term in question means “sides,” but this makes no sense here. On the basis of Num 33:55 some suggest the word for “thorns” has been accidentally omitted. If this word is added, the text would read, “they will become [thorns] in your sides” (cf. NASB, NIV, NLT)."
29,"['p1', 'verse', 'v3', 'content']",and their gods will lure you away.’”
30,"['p1', 'verse', 'v3', 'note', 'f']",tn Heb “their gods will become a snare to you.”
31,"['p2', 'verse', 'v4', 'label']",4
32,"['p2', 'verse', 'v4', 'content']",When the
33,"['p2', 'verse', 'v4', 'sc']",Lord
34,"['p2', 'verse', 'v4', 'content']","’s messenger finished speaking these words to all the Israelites, the people wept loudly."
35,"['p2', 'verse', 'v4', 'note', 'f']",tn Heb “lifted their voices and wept.”
37,"['p2', 'verse', 'v5', 'label']",5
38,"['p2', 'verse', 'v5', 'content']",They named that place Bokim
39,"['p2', 'verse', 'v5', 'note', 'f']","sn Bokim means “weeping ones” and is derived from the Hebrew verb בָּכָא (bakha’, “to weep”)."
40,"['p2', 'verse', 'v5', 'content']",and offered sacrifices to the
41,"['p2', 'verse', 'v5', 'sc']",Lord
42,"['p2', 'verse', 'v5', 'content']",there.
43,"['s1', 'heading']",The End of an Era
44,"['p3', 'verse', 'v6', 'label']",6
45,"['p3', 'verse', 'v6', 'content']",When Joshua dismissed
46,"['p3', 'verse', 'v6', 'note', 'f']",tn Or “sent away.”
47,"['p3', 'verse', 'v6', 'content']","the people, the Israelites went to their allotted portions of territory,"
48,"['p3', 'verse', 'v6', 'note', 'f']",tn Heb “the Israelites went each to his inheritance.”
49,"['p3', 'verse', 'v6', 'content']",intending to take possession of the land.
50,"['p3', 'verse', 'v7', 'label']",7
51,"['p3', 'verse', 'v7', 'content']",The people worshiped
52,"['p3', 'verse', 'v7', 'note', 'f']",tn Or “served”; or “followed.”
53,"['p3', 'verse', 'v7', 'content']",the
54,"['p3', 'verse', 'v7', 'sc']",Lord
55,"['p3', 'verse', 'v7', 'content']",throughout Joshua’s lifetime and as long as the elderly men
56,"['p3', 'verse', 'v7', 'note', 'f']","tn Or perhaps “elders,” which could be interpreted to mean “leaders.”"
57,"['p3', 'verse', 'v7', 'content']",who outlived him remained alive. These men had witnessed
58,"['p3', 'verse', 'v7', 'note', 'f']","tn Heb “all the days of Joshua and all the days of the old men who outlived him, who had seen.”"
59,"['p3', 'verse', 'v7', 'content']",all the great things the
60,"['p3', 'verse', 'v7', 'sc']",Lord
61,"['p3', 'verse', 'v7', 'content']",had done for Israel.
62,"['p3', 'verse', 'v7', 'note', 'f']",tn Heb “the great work of the Lord which he had done for Israel.”
64,"['p3', 'verse', 'v8', 'label']",8
65,"['p3', 'verse', 'v8', 'content']","Joshua son of Nun, the"
66,"['p3', 'verse', 'v8', 'sc']",Lord
67,"['p3', 'verse', 'v8', 'content']","’s servant, died at the age of one hundred ten."
68,"['p3', 'verse', 'v9', 'label']",9
69,"['p3', 'verse', 'v9', 'content']",The people
70,"['p3', 'verse', 'v9', 'note', 'f']",tn Heb “they”; the referent (the people) has been specified in the translation for clarity.
71,"['p3', 'verse', 'v9', 'content']",buried him in his allotted land
72,"['p3', 'verse', 'v9', 'note', 'f']",tn Heb “in the territory of his inheritance.”
73,"['p3', 'verse', 'v9', 'content']","in Timnath Heres in the hill country of Ephraim, north of Mount Gaash."
74,"['p3', 'verse', 'v10', 'label']",10
75,"['p3', 'verse', 'v10', 'content']",That entire generation passed away;
