id,tag,text
1,"[1, 'label']",3
2,"[2, 's1', 'heading']",Ruth and Boaz at the Threshing Floor
3,"[3, 'p1', 'verse', 'v1', 'label']",1
4,"[4, 'p1', 'verse', 'v1', 'content']","Then Naomi her mother-in-law said to her, “My daughter, should I not seek"
5,"[5, 'p1', 'verse', 'v1', 'note', 'x']",#ch.1:9
6,"[6, 'p1', 'verse', 'v1', 'content']","rest for you, that it may be well with you?"
7,"['v001_ESV_RUT_003', 7, 'p1', 'verse', 'v1', 'plain_text']","1 Then Naomi her mother-in-law said to her, “My daughter, should I not seek rest for you, that it may be well with you?"
8,"[8, 'p1', 'verse', 'v2', 'label']",2
9,"[9, 'p1', 'verse', 'v2', 'content']",Is not Boaz
10,"[10, 'p1', 'verse', 'v2', 'note', 'x']",#ch.2:1
11,"[11, 'p1', 'verse', 'v2', 'content']","our relative,"
12,"[12, 'p1', 'verse', 'v2', 'note', 'x']",#ch.2:8
13,"[13, 'p1', 'verse', 'v2', 'content']","with whose young women you were? See, he is winnowing barley tonight at the threshing floor."
14,"['v002_ESV_RUT_003', 14, 'p1', 'verse', 'v2', 'plain_text']","2 Is not Boaz our relative, with whose young women you were? See, he is winnowing barley tonight at the threshing floor."
15,"[15, 'p1', 'verse', 'v3', 'label']",3
16,"[16, 'p1', 'verse', 'v3', 'note', 'x']",#2 Sam. 12:20;14:2
17,"[17, 'p1', 'verse', 'v3', 'content']","Wash therefore and anoint yourself, and put on your cloak and go down to the threshing floor, but do not make yourself known to the man until he has finished eating and drinking."
18,"['v003_ESV_RUT_003', 18, 'p1', 'verse', 'v3', 'plain_text']","3 Wash therefore and anoint yourself, and put on your cloak and go down to the threshing floor, but do not make yourself known to the man until he has finished eating and drinking."
19,"[19, 'p1', 'verse', 'v4', 'label']",4
20,"[20, 'p1', 'verse', 'v4', 'content']","But when he lies down, observe the place where he lies. Then go and uncover his feet and lie down, and he will tell you what to do.”"
21,"['v004_ESV_RUT_003', 21, 'p1', 'verse', 'v4', 'plain_text']","4 But when he lies down, observe the place where he lies. Then go and uncover his feet and lie down, and he will tell you what to do.”"
22,"[22, 'p1', 'verse', 'v5', 'label']",5
23,"[23, 'p1', 'verse', 'v5', 'content']","And she replied, “All that you say I will do.”"
24,"['v005_ESV_RUT_003', 24, 'p1', 'verse', 'v5', 'plain_text']","5 And she replied, “All that you say I will do.”"
25,"[25, 'p2', 'verse', 'v6', 'label']",6
26,"[26, 'p2', 'verse', 'v6', 'content']",So she went down to the threshing floor and did just as her mother-in-law had commanded her.
27,"['v006_ESV_RUT_003', 27, 'p2', 'verse', 'v6', 'plain_text']",6 So she went down to the threshing floor and did just as her mother-in-law had commanded her.
28,"[28, 'p2', 'verse', 'v7', 'label']",7
29,"[29, 'p2', 'verse', 'v7', 'content']","And when Boaz had eaten and drunk, and"
30,"[30, 'p2', 'verse', 'v7', 'note', 'x']",#SeeJudg. 19:6
